Rank,Device,Device name,Pairs,Repeat pairs,CPU workers,IO workers,GPU workers,Prefetch,Elapsed ms,Throughput pairs/s,Task mean ms,Task p50 ms,Task p95 ms,Failures,Finite
1,0,Single CUDA device,6,2,11,auto,8,4,35996.65929999992,0.16668249502159685,32026.44758333334,32540.195400000015,35583.965599999945,0,True
2,0,Single CUDA device,6,2,11,auto,8,6,36154.02199999994,0.1659569604839966,32179.235350000017,32533.762600000045,35800.064200000066,0,True
3,0,Single CUDA device,6,2,11,auto,8,8,36314.11800000001,0.16522532674155155,32156.581,32361.423700000047,35942.60980000001,0,True
4,0,Single CUDA device,6,2,11,auto,6,6,36352.89690000002,0.16504906161754884,32276.567999999996,32842.37199999995,35998.185000000034,0,True
5,0,Single CUDA device,6,2,11,auto,6,8,36418.287899999996,0.16475272284422415,32191.406666666637,32685.875099999976,36044.02709999999,0,True
6,0,Single CUDA device,6,2,11,auto,6,4,36429.694300000054,0.16470113385778043,32349.076499999996,31832.186199999967,36025.50860000008,0,True
7,0,Single CUDA device,6,2,11,auto,8,3,36678.78600000006,0.16358262347290034,32643.156866666668,33052.878999999964,36320.41200000003,0,True
8,0,Single CUDA device,6,2,11,auto,6,2,36812.653599999976,0.16298773866875224,33450.04653333334,33645.73010000004,36362.288999999975,0,True
9,0,Single CUDA device,6,2,11,auto,6,3,36842.44720000004,0.1628559514030023,32983.097483333346,33391.22229999998,36475.316300000035,0,True
10,0,Single CUDA device,6,2,11,auto,8,2,36964.27979999999,0.1623191800855664,32978.83704999998,33476.28699999995,36494.50769999999,0,True
11,0,Single CUDA device,6,2,11,auto,4,4,37497.79319999999,0.16000973968618154,20308.042366666665,21090.496900000006,26337.07720000001,0,True
12,0,Single CUDA device,6,2,11,auto,4,6,38102.46320000004,0.1574704216024095,20716.44593333333,19624.570399999982,25666.585999999996,0,True
13,0,Single CUDA device,6,2,11,auto,4,8,38165.61209999998,0.15720987683628007,22463.78598333332,18822.110199999996,30525.466800000002,0,True
14,0,Single CUDA device,6,2,11,auto,3,4,38383.711599999995,0.15631656928357163,17953.106983333335,16758.922400000003,22018.404599999998,0,True
15,0,Single CUDA device,6,2,11,auto,3,6,38513.9316,0.15578806404821197,17736.69673333333,15733.03390000001,26222.856500000005,0,True
16,0,Single CUDA device,6,2,11,auto,3,3,39223.966499999995,0.1529679924495203,18999.415683333333,18195.8504,22818.460000000003,0,True
17,0,Single CUDA device,6,2,11,auto,3,8,40047.99159999999,0.1498205101596622,18689.26255,18859.33010000002,20538.553799999987,0,True
18,0,Single CUDA device,6,2,11,auto,4,3,40299.88679999999,0.14888404263610183,21829.903600000012,21414.004400000038,27377.3276,0,True
19,0,Single CUDA device,6,2,11,auto,4,2,41030.204,0.14623414003924753,22659.942166666668,22718.035899999988,28584.37700000002,0,True
20,0,Single CUDA device,6,2,11,auto,3,2,43873.4987,0.1367570562657984,20355.028399999996,20103.882299999994,24469.020999999997,0,True
